1	19331	19467	8560
1	21080	21868	53439
1	57719	62530	338347
1	237993	240960	178814
1	262617	264073	85908
1	297900	299356	85756
1	387777	389233	87165
1	526751	528216	84986
1	659546	664936	310643
1	668133	669141	59092
1	684757	685158	19062
1	733386	738569	382196
1	739365	739503	7780
1	780572	780681	2852
1	816147	820525	312016
1	1054975	1056444	76685
1	1120258	1120981	33347
1	1235029	1236497	86193
1	1239350	1240817	88482
1	1454072	1455535	86915
1	1600793	1602018	75319
1	1699686	1700294	15529
1	1998089	1999550	96891
1	2120965	2122423	94996
1	2422426	2423893	85322
1	2448223	2449685	84563
1	2681816	2683284	87043
1	2689471	2689872	25852
1	2706163	2707626	86721
1	2882684	2887215	340385
1	2915764	2918739	176713
1	2920496	2921225	38526
1	2927151	2928878	102563
1	2945966	2946488	10270
1	2947044	2947717	7482
1	2962732	2963128	24002
1	2974721	2976190	88826
1	3033146	3034156	41624
1	3039165	3040360	59053
1	3147955	3148180	10705
1	3182500	3183525	70950
1	3267991	3269452	85218
1	3416279	3417745	84646
1	3555567	3556803	89274
1	3624268	3625788	52498
1	3674035	3678491	340293
1	3746319	3747774	81811
1	4157610	4159071	84857
1	4163066	4164685	30747
1	4251192	4251907	64710
1	4718106	4719061	46473
1	4725061	4726161	62476
1	4795676	4795865	9472
1	4828001	4829237	87390
1	4852182	4853639	86609
1	4884016	4885070	41608
1	5076338	5083544	396436
1	5125842	5126380	21730
1	5127698	5128470	33849
1	5282877	5284197	81528
1	5393129	5393452	16079
1	5438792	5439756	44923
1	5455698	5457160	84908
1	5457648	5458372	32455
1	5466566	5468036	86888
1	5572580	5572822	31156
1	5572912	5574627	182005
1	5645471	5647163	100872
1	5649124	5654751	329531
1	5757402	5758628	83357
1	5864947	5866280	72416
1	6428102	6433473	313882
1	6482669	6483125	29054
